bidder_id,avg_avg_time_between_other_bids,avg_avg_time_between_own_bids,avg_avg_time_between_own_bids_second,avg_consecutive_bids_per_auction,avg_n_bids_per_auction,avg_whole_time_per_auction,max_avg_time_between_other_bids,max_avg_time_between_own_bids,max_avg_time_between_own_bids_second,max_n_bids_per_auction,min_avg_time_between_other_bids,min_avg_time_between_own_bids,min_avg_time_between_own_bids_second,min_n_bids_per_auction,n_auctions,n_auctions_won,n_bids,n_bids_first,n_countries,n_devices,n_ips,n_urls,var_avg_time_between_other_bids,var_n_bids_per_auction
802a819acf0601b43fe5426cb48ac0bbqwfu8,41537757473.63802,1376051305758.6147,268204915218.95505,1.0459394000843765,24.698757763975156,8191944736842.072,1148368421052.5,9402157894737.0,8692263157895.0,434,119617224.81818181,1842105263.0,-8400789473685.0,1,322,20,7953,15,59,406,5457,1914,1.6642911211938415e+22,3162.142615274472
5324221d38a79636bc4560cbcf2d75c4gimrm,2769736842.3333335,599200956937.7727,-83552631578.9,1.0,2.2,6451473684210.5,5473684211.0,1170454545454.5454,-83552631578.9,12,65789473.666666664,27947368421.0,-83552631578.9,1,10,0,22,0,5,9,17,4,1.4622662745038778e+19,11.955555555555556
d2704c8bb6ebbf13e08f37131382b126wy4yc,29806079801.250954,1545046263064.6277,-175133325286.85318,1.0516551151051219,14.408163265306122,7471021566110.376,803421052631.5,11725368421053.0,6572315789474.0,308,52631579.0,5460188933.871795,-10439210526317.0,1,343,10,4942,7,61,371,3504,1926,7.275430070533127e+21,1288.3709273182958
1cbd9081de4481ada66f1853737f7684ddjd1,114409424640.13734,1648671138034.9333,5286643316.145965,1.2930947967526492,10.30841121495327,7524614035087.71,2111157894737.0,12928947368421.0,9422473684211.0,141,198380566.84615386,8012585812.347826,-6702842105263.0,1,107,6,1103,12,29,4,836,4,8.873328136192045e+22,448.5926644330806
86e888c2dafacf13580a1211abf50961w6foa,9900281655.306229,1525125094262.7588,-257594324678.09,1.0697884087087066,22.34862385321101,7753573099415.157,161815789474.0,11204736842105.0,9203947368422.0,599,19255455.715447154,421052631.0,-8552000000000.0,1,218,3,4872,4,28,294,2893,516,4.258578002313147e+20,4331.149790724221
64e802fa8e0c17ec2ba1b6425648b7cb7ndkn,14114026189.038763,2227066452729.2217,-109926671181.37076,1.0501940085346548,4.07185628742515,6562303107165.458,194526315789.5,13090368421052.0,5713263157894.0,34,0.0,157894737.0,-9942473684210.0,1,167,2,680,2,42,223,537,48,7.335547575447433e+20,46.48878147319818
75339aea3f29d7d9a8d67ed3fe1c89c3owsq5,130981256021.96716,808161449190.9397,6223181062.557446,1.4641610161304994,78.93617021276596,7921103752203.498,4287263157894.0,6337684210526.0,6619947368420.0,2331,210526315.7777778,5852676756.268669,-5018631578947.0,1,282,42,22260,29,47,906,10802,4898,1.7940160752127914e+23,46619.839327629285
2271fe5b01f9b8f9d8409014ae4511524grmq,83991923967.02129,1175287677278.12,31806792845.262314,1.1264717159796065,25.612903225806452,6361936302294.2,2039368421052.6667,9840578947368.0,7433368421052.0,785,82745523.60051547,0.0,-8998473684211.0,1,558,34,14292,25,86,739,9400,9871,4.796449158997154e+22,6618.657786529217
fb81da0790d821a22617d748d0226540ylrj6,26889323145.76818,1892881412241.2856,-173607624822.21124,1.072298737490003,9.933649289099526,7172698412698.46,673500000000.0,9548315789474.0,9594315789474.0,159,17543859.666666668,105263158.0,-10618526315788.0,1,211,6,2096,3,69,378,1266,97,6.02679506949046e+21,580.5479575716543
309f446bdb138faeb18072285ccd9901gz80c,15117431170.109724,2255724446773.0537,-73431119446.28137,1.031536863390606,7.044776119402985,5619091282894.6875,234710526315.5,13518368421053.0,2094868421052.5,540,66666666.666666664,6701754386.0,-2719447368421.0,1,134,4,944,2,45,226,763,181,1.207816846544677e+21,2169.561889799125
ca0331fc37db2b251a012376f7b987fcma2jw,283067903679.9636,2153401194476.3188,163478336406.0269,1.1255342442997616,13.12,8188857655502.318,4626263157895.0,10852368421052.0,9240000000000.0,113,0.0,100181286549.66667,-8101473684212.0,1,50,5,656,6,3,73,96,49,6.605522597399359e+23,540.189387755102
f0567f6d45c0f83b9874681fe8dfe0ba6hjlf,27323207044.234344,1944017264929.2395,119178846362.28024,1.0279716890549668,5.89261744966443,7610850717703.321,426321637426.7778,11568684210527.0,6818526315789.0,80,9868421.03125,1894736842.0,-11727947368421.0,1,298,7,1756,11,63,309,1220,254,3.82207119220323e+21,117.02546719996384
54e279a4e162af7fc55d640aa62d0cbc9hxil,43718438462.866325,2114713972954.2854,-221812588585.7552,1.067873121575735,5.598623853211009,6530875445586.1,915789473684.0,12625052631578.0,9017736842105.0,211,52631579.0,368421052.0,-12107315789475.0,1,436,8,2441,8,48,347,1544,1337,1.3277939118030566e+22,243.7166877570389
c2e1242ad5ea781923a08987d55365c69fii7,146819936985.2927,1583628140941.3706,-38401117202.53066,1.1585829410378983,20.61689587426326,7891582103795.081,4498026315789.5,13168105263158.0,9848315789474.0,936,30821328.117775355,333333333.3333333,-10310789473684.0,1,1018,109,20988,78,107,974,9450,5267,1.060829960533157e+23,3540.2011695093047
ead2ec4563ba25a9e9d417f1964b7504teqtp,7716877557.6420555,1652546279350.548,257448571716.21832,1.0218660740776684,18.285714285714285,7580277814790.013,159159844054.44446,9806736842105.0,9022421052632.0,383,25303643.71153846,921052631.5,-10826736842106.0,1,119,1,2176,0,16,268,1803,149,3.9774833707670884e+20,2204.443099273608
b6a3aa8c0f2302fa35d7b809d9371deeypvyh,2712834442.6437993,2317518547892.5894,-69176229662.10846,1.015748031496063,2.826771653543307,5991229166666.667,22631578947.0,11452368421052.0,8208315789473.0,39,21052631.5,578947368.0,-3714105263157.5,1,127,2,359,0,26,128,298,19,2.0156137455028433e+19,23.04911886014248
1b0534afb7c02bb023bd4767ae73f17dqzqdu,10600346665.62932,2598195194995.154,202096948226.78726,1.0514163645686543,17.633333333333333,6815473684210.547,92552631579.0,11015157894737.0,5601473684211.0,1263,15037594.0,526315790.0,-4284421052631.0,1,90,0,1587,0,30,280,1086,618,3.606466518985235e+20,17648.998876404494
3ded667003605eb856ed1aa2b82c1732gtma1,81659210526.24167,3123136206587.8335,324882894736.75,1.0108695652173914,1.9782608695652173,7296116541353.286,385078947368.5,6295052631578.0,4396631578947.0,10,2026315789.6,1051614035087.7778,-2952157894737.0,1,46,0,91,1,4,32,88,8,1.4761498952190258e+22,3.977294685990338
0cbd01c9e8cc800aabd3b3e4c618f9caktfgp,14732903315.86371,2032262890570.6401,450295937281.0975,1.0254845164312265,18.443396226415093,6698656405163.868,265526315790.0,11010368421053.0,6951000000000.0,1394,8771929.75,157894737.0,-3002947368422.0,1,106,1,1955,0,39,245,1280,784,1.9930856447825137e+21,18348.42057502246
f416aeaaafcbb66aabb77347776db008qw96o,63330355152.786964,1495745721069.7703,15105265216.209272,1.0890833708071639,19.518072289156628,7126169165116.543,2651649122807.0,11296000000000.0,8812736842104.0,826,20216103.178807948,421052632.0,-11284684210526.0,1,664,37,12960,38,97,748,8219,7560,4.504370116963485e+22,3566.6693561576626
c41cd6791e262b44d26bdb3443fcfba97wlm3,11213214671.80616,1496515255199.1792,149943287644.64532,1.0603208831556135,13.58874458874459,7460208860759.506,143973684210.5,12841157894736.0,7541736842105.0,774,33455732.3501292,1078947368.3333333,-7454631578948.0,1,231,3,3139,5,55,411,1966,637,3.7537642388515265e+20,2872.721437982307
4089a2b7f26e5c13a7f3350bd52ebf8fh21nm,16651576968.950241,1494897455665.3076,76013021913.1182,1.0380814572649075,12.470588235294118,7534616842105.253,473485380117.0,5973105263158.0,4143578947368.5,402,29065200.31840796,315789473.0,-6543789473685.0,1,102,0,1272,0,14,186,901,156,3.554418659473567e+21,1824.2516016307513
b071545f5ad73150880c42e780d951bdzvxn7,26122931668.023914,2363670079243.4243,122721001232.78883,1.0166180799161075,4.221122112211221,6169140108892.931,712394736842.5,12515578947369.0,7840578947368.0,180,31578947.4,403508771.6666667,-8401263157895.0,1,303,3,1279,4,43,283,778,503,5.719134523616522e+21,150.364850392324
c72012c8072e2441b3ba8173205cd298cde8a,17061193116.662851,1820584098065.633,77069785416.70273,1.0332251082251083,4.745454545454545,5025126855600.436,323210526316.0,7960894736842.0,4513421052631.0,41,26315789.5,3368421052.0,-7462052631579.0,1,55,0,261,2,28,49,195,1,2.7582642025475903e+21,44.41548821548822
3714da7069a5205137cacf89ab3a136ffx2u2,57081256154.83386,1386439295274.9624,-79339053232.39594,1.057476369713734,22.16568047337278,6236003882657.442,1966763157895.0,10827210526315.0,4098157894736.0,263,13157894.75,368421053.0,-9215000000000.0,1,169,1,3746,6,63,388,1366,975,4.537006587163996e+22,3511.9723865877713
916d2d806b772c9f227a9b3640e31469ljrxo,1450173722.7391198,1402851709753.7312,115696730.81350954,1.0642935982339956,1023.5,7443947368420.5,2842105263.0,2799789473684.0,115696730.81350954,2045,58242182.47823961,5913945823.462329,115696730.81350954,2,2,0,2047,0,4,162,1960,3,3.874946825546052e+18,2086924.5
a4e83190edb97fefdc4a6cbfd00f41fbm7c4o,50867697345.21815,1222656844906.6855,-172455633040.5544,1.1472083816750671,17.50398406374502,6420838170191.832,865684210526.5,11929052631578.0,3703947368421.0,505,19736842.125,52631579.0,-8466210526314.0,1,502,27,8787,15,64,514,4450,1256,1.3443085238858768e+22,2427.8672495646156
0565a780f2c5b46837bbe9739ef15ea92fdu0,15224449128.984207,2050515588039.1538,511200369802.0189,1.0325706645283252,5.6600985221674875,6425176361957.474,839210526315.75,8842052631579.0,12751105263158.0,125,52631579.0,842105263.0,-5690631578947.0,1,203,1,1149,1,48,229,871,102,6.340936982053276e+21,211.15617226747307
f211ff014ed43c9054916f97d6187108mpxr6,8664492904.95146,1500031009313.9434,258804030596.1784,1.0516706514943102,18.477690288713912,7533399744299.996,90526315790.0,11458578947369.0,8986473684211.0,608,25799793.61764706,368421052.0,-7511421052632.0,1,381,3,7040,4,73,427,4293,1931,1.6999589900735975e+20,3052.434369388037
bb73823b1c3f577402c9aa9eabd1e412vp2xw,268687826752.7162,1519933382886.5625,448866040490.5566,1.144069387803542,13.121495327102803,8398238345864.714,3340815789473.5,7612473684210.0,10124157894737.0,119,105263157.8888889,1473684210.5,-1814421052631.0,1,107,10,1404,11,53,171,1312,719,3.0224605962713964e+23,647.4850996296949
055282b75717345ba6f53d40e9e6d6c56qrzp,77017774921.86665,1181498389846.0186,74798551191.60672,1.1361328053960573,37.956647398843934,5933649555988.729,3495842105263.5,11315473684210.0,8435473684211.0,2475,22556391.0,1827354814.7690952,-9189526315789.0,1,346,21,13133,27,129,920,7486,5658,9.26647562299851e+22,38969.60101365502
0d1815382b08885d76c671ab600133adeyp5e,17296675457.53138,1870323637154.5347,114909774588.63744,1.035689932423756,16.574468085106382,8296022666154.445,250421052631.0,11937473684211.0,10897894736842.0,342,10526315.8,105263158.0,-7816315789475.0,1,235,3,3895,2,74,416,2749,681,9.024957611895926e+20,2188.4335333697036
78a444127a896122678835e12ef507deh01hn,9972726260.143068,1616068567251.3438,-175129796714.0312,1.0384615384615385,2.6923076923076925,3443340350877.0,42789473684.5,8918842105263.0,1048863157894.6,9,187969924.85714287,2157894737.0,-1048894736842.0,1,26,0,70,1,2,31,47,13,1.5693635930851675e+20,5.021538461538462
4955e2c318d0bdca797ce17794ba18fblhaau,45913478128.612305,1101635300766.2395,195190220901.67148,1.089095364091963,80.38235294117646,7501604385964.917,709973684210.5,4782421052632.0,4718210526315.0,1971,94341637.95129377,1894736842.0,-4442263157894.0,1,68,3,5466,1,2,301,3506,2778,1.5108537378202068e+22,65190.15013169447
d9c6b6d7290e4475bcd6d264fb33a706fqtvc,7356448000.941244,1985714114186.5493,189550484684.25998,1.0271564256638883,7.223880597014926,5705712206047.0,72657894736.75,8422631578947.0,9088421052631.0,889,13157894.75,157894737.0,-7819894736841.0,1,201,1,1452,2,50,267,937,588,1.4201974178131193e+20,3923.6946268656716
862eef3a75e1351593b54975cd8ae1b3swcxw,86617004034.12775,2179104272037.0164,-111820058971.47186,1.0299093191742972,5.9634551495016614,6702537313432.865,10192210526316.0,10192210526316.0,5591052631579.0,580,0.0,105263158.0,-9021157894737.0,1,301,6,1795,6,71,323,1411,323,7.740473897188255e+23,1315.1086600221483
a6ec153fc7002cfd929b9f7199914cf75upgt,96026317723.30208,1433540416737.6833,232339961881.3755,1.0788649440624318,11.863013698630137,5114110835913.341,2352315789473.5,7349421052632.0,9276315789474.0,178,81052631.56,9842105263.1519,-2994210526316.0,1,146,6,1732,3,79,302,1418,1368,1.2145940808330563e+23,822.4638639584317
e134f2bb79d1a810aada6a24760c8910mh5na,13756890398.552963,2885417068911.1826,46222574254.184555,1.0153846153846153,4.230769230769231,6671368421052.6455,173105263158.5,9957157894737.0,9372894736842.0,51,54736842.04,105263158.0,-6883105263158.0,1,130,1,550,1,37,176,451,52,7.955229334929421e+20,71.10912343470483
bf65e77ce8676fbab6fc78b70c50f05a8da8a,94859728517.09644,974554915358.014,-67767318474.4146,1.0831375600292072,105.0,8149133971291.818,330142857143.0,2763578947368.3335,3128763157894.5,711,172248804.0,18538398813.93662,-2210447368421.0,1,12,0,1260,1,7,128,241,573,1.4657660019084374e+22,47783.27272727273
175a06fdcf622c9455d0a77990b9302dj23ke,5611130862.153015,2495796418609.5557,83090692195.00531,1.0048317244449843,4.132596685082873,7201165944272.494,97368421052.5,11550526315789.0,9101736842106.0,79,13850415.47368421,3473684210.0,-5773105263159.0,1,181,0,748,0,40,181,621,410,2.0988463664350347e+20,77.07120933087783
21f5b103136104e4947e293983dbaa5b4tder,115901312400.57697,1582360643078.4507,204147075231.85825,1.0934604632226905,37.97626112759644,5453080451127.776,3227263157894.5,12156684210526.0,11197210526316.0,5840,2105263.16,52631579.0,-6378315789473.0,1,337,25,12798,21,81,392,1837,7388,1.0900739661860397e+23,115305.55895859828
e24542c1bd46a4a0f98b0fa95d8fc40brecdx,167971004390.9082,1375679837029.063,-261203116029.08118,1.0983219037838117,9.216666666666667,4240208169677.9253,2474342105263.5,11060052631579.0,3662052631579.0,244,526315789.5,11105263157.0,-8464999999999.0,1,240,15,2212,14,19,141,2009,23,1.6335614206878472e+23,906.7059972105998
3d48fb12020c1a81a65fdba2d75caf0d6q2nc,10768859649.128508,1925146214219.7126,29454312865.56253,1.0527777777777778,2.6666666666666665,4135429362880.7896,111289473684.0,9727789473684.0,3890526315790.0,8,87719298.33333333,2684210526.0,-4848947368421.0,1,30,0,80,1,2,30,49,11,6.088947591328738e+20,3.540229885057471
47c5cd21a74e45dd294cdd53041ec0a3dw3ge,40310719429.202324,1618060567268.7722,-33084052457.113106,1.0599014753489442,11.396907216494846,7205853021442.496,669210526316.0,11596105263158.0,8007736842105.0,142,0.0,52631579.0,-5345421052632.0,1,194,2,2211,4,63,337,1380,856,7.310475006946491e+21,687.4841354628493
5e8bf58291656ddd5fd2f71825565446aiopv,23047405556.130608,1244988512775.732,209938604239.8663,1.0835062311011865,24.02173913043478,6139536032388.677,440999999999.5,9447789473684.0,5102526315790.0,507,157894737.0,2105263158.0,-3181315789474.0,1,92,1,2210,2,83,445,1799,1764,3.4412547585301545e+21,5680.570950788342
2a7d1f9483d34546c4d099e36e3a79790qvjm,43160425144.680725,1509694480318.2246,-40582980556.19141,1.0967223520836133,11.59515570934256,7421451945080.125,1952473684210.5,11187842105263.0,9580631578947.0,196,16404648.0,52631579.0,-9139947368421.0,1,289,11,3351,2,76,480,2071,284,2.47338069464862e+22,588.7487264513649
7d8d3493942dc13742444f28626c5839axjqd,28240660467.77654,1892719129749.9878,370498378144.448,1.043476401652351,13.791540785498489,7031817543859.657,466947368421.0,11560157894737.0,10007105263158.0,755,30951551.063576158,1368421053.0,-9491684210527.0,1,331,5,4565,4,62,446,2889,1073,3.01132261299133e+21,4222.24429186121
0ad17aa9111f657d71cd3005599afc24fd44y,48878073180.061806,1869186860662.2805,207561908563.19104,1.0322884272522632,14.521968365553603,7273613529501.0,1595052631579.0,11670473684210.0,12313684210526.0,355,25466893.032258064,5368421052.0,-10005368421052.0,1,569,16,8263,23,85,564,6110,1906,2.168449186661964e+22,1651.3239003440679
246c55639cf85c682d58cbd2ed6a6563vk2yn,26675090863.24976,2073903405121.4392,-619238293051.0648,1.0221706134224302,5.421875,6352074898785.355,2173017543859.6667,12166894736842.0,8623368421053.0,87,31578947.4,315789474.0,-10279473684211.0,1,192,0,1041,1,49,222,790,61,4.526749334658423e+22,139.06192735602093
3694aa599f836a57b671ee0814b071775i1nf,40438342321.800446,2143578988857.7905,54775458209.783966,1.0397128251128183,10.994011976047904,6571797846889.932,1493710526315.5,10135263157895.0,10202421052632.0,533,26315789.5,379072681.70238096,-4493263157896.0,1,167,2,1836,6,43,283,914,731,2.808405283314421e+22,1965.3312892287715
445305769cbfccafc89ff5ebd004598einesy,87040094331.37347,1419381077055.9375,127969006797.98427,1.0977382473504305,8.911931818181818,6961426979611.216,1252263157895.0,6173105263158.0,8593368421052.0,473,11164274.303030303,157894737.0,-6389736842104.0,1,352,15,3137,13,80,540,1771,1146,4.3187109771525285e+22,1081.14037004662
eacfdb47b3daccebd9f16779c5542fe5eytoc,1091093117.371795,3241296761133.615,3970144736842.0625,1.0,1.5405405405405406,4732522267206.462,4868421052.5,6502157894737.0,7546000000000.0,6,52631579.0,116315789474.0,-423999999999.75,1,37,0,57,0,4,32,51,24,2.3307881713987333e+18,0.9774774774774776
4ab12bc61c82ddd9c2d65e60555808acqgos1,1642669923.049771,1442109305035.075,719899507480.808,1.0543478260869565,6.739130434782608,5106849122807.134,6868421053.0,9024473684211.0,4384210526316.0,38,72022160.63157895,14578947368.0,-9263157895.0,1,23,0,155,0,2,53,123,91,4.787337124152816e+18,85.20158102766798
8af01eeb860c2e6b1512377f28953110ml638,18246804052.161163,2177443364804.0825,-613968159889.0372,1.0335205953254376,3.5148936170212766,5886069817400.643,996157894736.5,12628368421053.0,3793631578947.0,97,17543859.666666668,894736842.0,-9883000000000.0,1,235,1,826,0,54,221,623,107,1.0588801549842959e+22,68.85768321513002
f2ea6d89dd9897f0d6edb6f24c446f01ra6yk,136710432940.61487,1895323802320.2786,-904546952558.6196,1.0196738745125842,4.241935483870968,6682491228070.167,3433578947368.5,7077000000000.0,3628526315790.0,17,56140350.86666667,38368421053.0,-10254789473685.0,1,62,3,263,2,4,49,79,18,2.9612059983471323e+23,15.989687995769433
1d4eaaacb6127c43c1c007331cac135bpib3m,964912281.0,1741105263158.0,,1.0,1.1153846153846154,1741105263158.0,1973684211.0,3940473684211.0,,2,394736842.5,16789473684.0,,1,26,0,29,1,9,23,28,16,7.675438598903508e+17,0.10615384615384613
7f86c3c417ae1db5bea10bf9d0a7827ct3ni4,41115101897.33513,1903269496388.775,323732396350.8877,1.0789528791248146,12.883211678832117,6159920341393.973,546763157894.5,8977473684210.0,6907578947370.0,966,21052631.6,315789473.0,-7561368421052.0,1,137,2,1765,2,35,274,924,392,1.0697547108687651e+22,6900.633319021039
8b809e18804865ff2a2e799c9a5e8a48mtxdh,4423401245.034071,1439536721538.7727,332502129103.3326,1.0578078078078077,3.0,5291216165413.571,33105263158.0,6011684210527.0,5771000000000.0,31,7518797.0,1921052631.75,-4794421052632.0,1,74,1,222,1,20,66,137,133,7.281353049432706e+19,21.89041095890411
c780bc2dc7ab83d5e5c85dd13f0f7fdecfxjq,21083955868.374596,2081956257607.4072,44718620878.63658,1.0449069987746546,7.656976744186046,7318928331466.915,1273947368421.0,12247421052632.0,5901789473684.0,143,70175438.66666667,2000000000.0,-5149894736842.0,1,172,2,1317,3,37,218,1019,622,1.7423482595097933e+22,354.76468788249696
